id,song,stem,condition,domain,ld,ld_loudness_matched,absolute_lufs_difference,absolute_crest_difference_db,centered_envelope_rmse_db,centered_band_rmse_db,max_stage_clipped_fraction
history_000_bass,Timboz - Pony,bass,identity,input,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_000_bass,Timboz - Pony,bass,identity,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_000_bass,Timboz - Pony,bass,gain_minus6,input,1.1287338733673096,4.7390822146553546e-05,6.000000490005313,1.5965187216693266e-07,8.387144063783663e-09,7.033954261714825e-06,0.0
history_000_bass,Timboz - Pony,bass,gain_minus6,normalized,0.04864378273487091,0.048645030707120895,8.997369751284623e-05,9.004601926676514e-05,3.836944849203296e-05,0.0010140208760276437,0.0
history_000_bass,Timboz - Pony,bass,gain_plus6,input,1.6686242818832397,5.5406322644557804e-05,5.999999799605256,4.806171567395268e-07,8.494955509527615e-09,1.206313208967913e-05,0.0
history_000_bass,Timboz - Pony,bass,gain_plus6,normalized,0.175810307264328,0.17556051909923553,0.003496780122951293,0.00012792330791100426,9.309342735406905e-05,0.0005769809940829873,0.0
history_000_bass,Timboz - Pony,bass,eq_minus6,input,0.10444377362728119,0.10134035348892212,0.20028912769490503,0.3884683886289011,0.08487361621019436,1.6714274883270264,0.0
history_000_bass,Timboz - Pony,bass,eq_minus6,normalized,1.542627215385437,1.548330545425415,0.12569697385981726,0.4441066279297452,0.25506473706087546,0.08902519196271896,0.0
history_000_bass,Timboz - Pony,bass,eq_plus6,input,0.11062368005514145,0.10671387612819672,0.2110737384043091,0.9737768944784975,0.09097086930646027,1.7604788541793823,0.0
history_000_bass,Timboz - Pony,bass,eq_plus6,normalized,0.38762399554252625,0.3875899314880371,0.004155558857004138,0.09471307880889412,0.0648745143306114,0.008792273700237274,0.0
history_000_bass,Timboz - Pony,bass,comp_ratio2,input,0.817313551902771,0.2159465253353119,4.329214058181748,0.8620336041770464,0.7992551713344971,0.3474620580673218,0.0
history_000_bass,Timboz - Pony,bass,comp_ratio2,normalized,0.5737440586090088,0.569858729839325,0.09853890187786973,1.5876106459750048,0.8282940895375553,0.5144200921058655,0.0
history_000_bass,Timboz - Pony,bass,comp_ratio4,input,1.138918399810791,0.3217480480670929,6.4091995541218765,1.3010216801101322,1.1939077300333276,0.5457254648208618,0.0
history_000_bass,Timboz - Pony,bass,comp_ratio4,normalized,0.6591216325759888,0.64841628074646,0.2621558169656417,2.4075789160033985,1.1626744703967722,0.6753110289573669,0.0
history_000_bass,Timboz - Pony,bass,identity_repeat,input,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_000_bass,Timboz - Pony,bass,identity_repeat,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_000_drums,Cristina Vane - So Easy,drums,identity,input,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_000_drums,Cristina Vane - So Easy,drums,identity,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_000_drums,Cristina Vane - So Easy,drums,gain_minus6,input,1.1598836183547974,9.02081865206128e-06,6.000000509984645,1.7501026938759878e-07,1.3093903355517666e-08,5.909703759243712e-06,0.0
history_000_drums,Cristina Vane - So Easy,drums,gain_minus6,normalized,0.00843370147049427,0.008438104763627052,1.180669293887604e-05,2.281801244663484e-05,0.00011474772873929092,1.4969952644605655e-05,0.0
history_000_drums,Cristina Vane - So Easy,drums,gain_plus6,input,1.6755735874176025,9.953007975127548e-06,5.999999758346306,2.58077443859861e-07,9.654839312745217e-09,0.0,0.0
history_000_drums,Cristina Vane - So Easy,drums,gain_plus6,normalized,0.009826293215155602,0.009830242954194546,7.52004152104746e-06,1.1228283142372675e-05,0.00013431053167278228,9.650505489844363e-06,0.0
history_000_drums,Cristina Vane - So Easy,drums,eq_minus6,input,0.12272346019744873,0.13678306341171265,0.3616154109957179,0.13600599368965938,0.3796048277232143,1.65717351436615,0.0
history_000_drums,Cristina Vane - So Easy,drums,eq_minus6,normalized,0.20882610976696014,0.20879921317100525,0.0029308658974755986,0.8340596619207226,0.06952684460664173,0.02363070659339428,0.0
history_000_drums,Cristina Vane - So Easy,drums,eq_plus6,input,0.15038582682609558,0.17496292293071747,0.5570275825640323,0.11673854305180065,0.5430514283763929,1.7321399450302124,0.0
history_000_drums,Cristina Vane - So Easy,drums,eq_plus6,normalized,0.17249171435832977,0.17244677245616913,0.0021309034494905177,0.565597527129345,0.059945812470080635,0.010894868522882462,0.0
history_000_drums,Cristina Vane - So Easy,drums,comp_ratio2,input,0.8844418525695801,0.7934616804122925,6.037780381769082,1.7036904400198498,3.0370727646220548,1.7760791778564453,0.0
history_000_drums,Cristina Vane - So Easy,drums,comp_ratio2,normalized,1.7861974239349365,1.761453628540039,0.7795336409872391,1.8893082204029064,3.3619849011667995,1.5674968957901,0.0
history_000_drums,Cristina Vane - So Easy,drums,comp_ratio4,input,1.1591517925262451,1.1297720670700073,8.061098024398632,3.237991777557257,4.521340945649539,2.5863020420074463,0.0
history_000_drums,Cristina Vane - So Easy,drums,comp_ratio4,normalized,1.89980149269104,1.8773963451385498,0.9131423422796558,2.192025394804684,4.758162067614743,1.9053189754486084,0.0
history_000_drums,Cristina Vane - So Easy,drums,identity_repeat,input,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_000_drums,Cristina Vane - So Easy,drums,identity_repeat,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_000_vocals,Tom McKenzie - Directions,vocals,identity,input,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_000_vocals,Tom McKenzie - Directions,vocals,identity,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_000_vocals,Tom McKenzie - Directions,vocals,gain_minus6,input,1.1662161350250244,9.986036275222432e-06,6.000000501626577,2.2632354301777013e-07,7.481131620836304e-08,5.117953151057009e-06,0.0
history_000_vocals,Tom McKenzie - Directions,vocals,gain_minus6,normalized,0.005884528160095215,0.005889277905225754,2.442829671878144e-06,2.3727872431322794e-06,0.00015603191092519963,1.7729111277731135e-05,0.0
history_000_vocals,Tom McKenzie - Directions,vocals,gain_plus6,input,1.678209662437439,1.0721682883740868e-05,5.999999784591985,1.6406638891908187e-07,3.924369565050882e-08,3.814697265625e-06,0.0
history_000_vocals,Tom McKenzie - Directions,vocals,gain_plus6,normalized,0.005046614445745945,0.005051489919424057,1.947385754874631e-06,2.2090021829512807e-06,9.483744228536668e-05,1.9895027435268275e-05,0.0
history_000_vocals,Tom McKenzie - Directions,vocals,eq_minus6,input,0.3155122995376587,0.37138843536376953,1.8794713004965367,0.31792667991066637,1.0403383063193414,1.4791663885116577,0.0
history_000_vocals,Tom McKenzie - Directions,vocals,eq_minus6,normalized,0.22436124086380005,0.22442536056041718,0.005327164172470589,0.9246916304650483,0.05620189365559302,0.006173056084662676,0.0
history_000_vocals,Tom McKenzie - Directions,vocals,eq_plus6,input,0.46067771315574646,0.4442245364189148,2.5570669730242344,1.458601358449009,1.1767998948224174,1.52611243724823,0.0
history_000_vocals,Tom McKenzie - Directions,vocals,eq_plus6,normalized,0.23364955186843872,0.23260244727134705,0.03929806311659334,0.4735524267286628,0.14830700929513083,0.05585034191608429,0.0
